State,Grade,Standard ID,Standard Text,Project Name,Course Name,Match Rationale
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,3.1 Alien Planet,CS Adventures with VR,Matched CSTA 0.08; shared tokens online
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,3.1 Alien Planet,CS Adventures with VR,Matched CSTA 0.07; shared tokens using
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,3.2 Alphabet Town,CS Adventures with VR,Matched CSTA 0.08; shared tokens online
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,3.2 Alphabet Town,CS Adventures with VR,Matched CSTA 0.07; shared tokens using
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,3.3 I Spy,CS Adventures with VR,Matched CSTA 0.08; shared tokens online
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,3.3 I Spy,CS Adventures with VR,Matched CSTA 0.07; shared tokens using
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,4.1 The Magic Forest,CS Adventures with VR,Matched CSTA 0.08; shared tokens online
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,4.1 The Magic Forest,CS Adventures with VR,Matched CSTA 0.07; shared tokens using
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,4.2 Holiday Fun,CS Adventures with VR,Matched CSTA 0.08; shared tokens online
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,4.2 Holiday Fun,CS Adventures with VR,Matched CSTA 0.07; shared tokens using
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,4.3 Passion Project,CS Adventures with VR,Matched CSTA 0.08; shared tokens online
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,4.3 Passion Project,CS Adventures with VR,Matched CSTA 0.07; shared tokens using
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,5.1 Picnic Party,CS Adventures with VR,Matched CSTA 0.08; shared tokens online
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,5.1 Picnic Party,CS Adventures with VR,Matched CSTA 0.07; shared tokens using
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,5.2 Dinosaur Safari,CS Adventures with VR,Matched CSTA 0.08; shared tokens online
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,5.2 Dinosaur Safari,CS Adventures with VR,Matched CSTA 0.07; shared tokens using
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,5.3 Passion Project,CS Adventures with VR,Matched CSTA 0.08; shared tokens online
AL,1,DLCS.18.1.13,Create a research-based product collaboratively using online digital tools.,5.3 Passion Project,CS Adventures with VR,Matched CSTA 0.07; shared tokens using
AL,1,DLCS.18.1.14,Discuss the purpose of collecting and organizing data.,0.7 Respecting Others' Work,CS Adventures with VR,Matched CSTA 0.06; shared tokens data
AL,1,DLCS.18.1.14,Discuss the purpose of collecting and organizing data.,0.8 Data Discovery,CS Adventures with VR,Matched CSTA 0.09; shared tokens data
AL,1,DLCS.18.1.14,Discuss the purpose of collecting and organizing data.,0.8 Data Discovery,CS Adventures with VR,Matched CSTA 0.07; shared tokens data
AL,1,DLCS.18.1.14,Discuss the purpose of collecting and organizing data.,4.1 The Magic Forest,CS Adventures with VR,Matched CSTA 0.06; shared tokens data
AL,1,DLCS.18.1.14,Discuss the purpose of collecting and organizing data.,4.1 The Magic Forest,CS Adventures with VR,Matched CSTA 0.06; shared tokens data
AL,1,DLCS.18.1.14,Discuss the purpose of collecting and organizing data.,4.2 Holiday Fun,CS Adventures with VR,Matched CSTA 0.06; shared tokens data
AL,1,DLCS.18.1.14,Discuss the purpose of collecting and organizing data.,4.2 Holiday Fun,CS Adventures with VR,Matched CSTA 0.06; shared tokens data
AL,1,DLCS.18.1.14,Discuss the purpose of collecting and organizing data.,4.3 Passion Project,CS Adventures with VR,Matched CSTA 0.06; shared tokens data
AL,1,DLCS.18.1.14,Discuss the purpose of collecting and organizing data.,4.3 Passion Project,CS Adventures with VR,Matched CSTA 0.06; shared tokens data
AL,1,DLCS.18.1.14,Discuss the purpose of collecting and organizing data.,5.1 Picnic Party,CS Adventures with VR,Matched CSTA 0.06; shared tokens data
AL,1,DLCS.18.1.14,Discuss the purpose of collecting and organizing data.,5.1 Picnic Party,CS Adventures with VR,Matched CSTA 0.06; shared tokens data
AL,1,DLCS.18.1.14,Discuss the purpose of collecting and organizing data.,5.2 Dinosaur Safari,CS Adventures with VR,Matched CSTA 0.06; shared tokens data
AL,1,DLCS.18.1.14,Discuss the purpose of collecting and organizing data.,5.2 Dinosaur Safari,CS Adventures with VR,Matched CSTA 0.06; shared tokens data
AL,1,DLCS.18.1.14,Discuss the purpose of collecting and organizing data.,5.3 Passion Project,CS Adventures with VR,Matched CSTA 0.06; shared tokens data
AL,1,DLCS.18.1.14,Discuss the purpose of collecting and organizing data.,5.3 Passion Project,CS Adventures with VR,Matched CSTA 0.06; shared tokens data
AL,1,DLCS.18.1.15,Interpret data displayed in a chart.,0.10 Scavenger Hunt,CS Adventures with VR,Matched CSTA 0.06; shared tokens data
AL,1,DLCS.18.1.15,Interpret data displayed in a chart.,0.7 Respecting Others' Work,CS Adventures with VR,Matched CSTA 0.07; shared tokens data
AL,1,DLCS.18.1.15,Interpret data displayed in a chart.,0.8 Data Discovery,CS Adventures with VR,Matched CSTA 0.10; shared tokens data
AL,1,DLCS.18.1.15,Interpret data displayed in a chart.,0.8 Data Discovery,CS Adventures with VR,Matched CSTA 0.08; shared tokens data
AL,1,DLCS.18.1.15,Interpret data displayed in a chart.,0.9 Google Slides Playground,CS Adventures with VR,Matched CSTA 0.06; shared tokens data
AL,1,DLCS.18.1.15,Interpret data displayed in a chart.,4.1 The Magic Forest,CS Adventures with VR,Matched CSTA 0.07; shared tokens data
AL,1,DLCS.18.1.15,Interpret data displayed in a chart.,4.1 The Magic Forest,CS Adventures with VR,Matched CSTA 0.07; shared tokens data
AL,1,DLCS.18.1.15,Interpret data displayed in a chart.,4.2 Holiday Fun,CS Adventures with VR,Matched CSTA 0.07; shared tokens data
AL,1,DLCS.18.1.15,Interpret data displayed in a chart.,4.2 Holiday Fun,CS Adventures with VR,Matched CSTA 0.07; shared tokens data
AL,1,DLCS.18.1.15,Interpret data displayed in a chart.,4.3 Passion Project,CS Adventures with VR,Matched CSTA 0.07; shared tokens data
AL,1,DLCS.18.1.15,Interpret data displayed in a chart.,4.3 Passion Project,CS Adventures with VR,Matched CSTA 0.07; shared tokens data
AL,1,DLCS.18.1.15,Interpret data displayed in a chart.,5.1 Picnic Party,CS Adventures with VR,Matched CSTA 0.07; shared tokens data
AL,1,DLCS.18.1.15,Interpret data displayed in a chart.,5.1 Picnic Party,CS Adventures with VR,Matched CSTA 0.07; shared tokens data
AL,1,DLCS.18.1.15,Interpret data displayed in a chart.,5.2 Dinosaur Safari,CS Adventures with VR,Matched CSTA 0.07; shared tokens data
AL,1,DLCS.18.1.15,Interpret data displayed in a chart.,5.2 Dinosaur Safari,CS Adventures with VR,Matched CSTA 0.07; shared tokens data
AL,1,DLCS.18.1.15,Interpret data displayed in a chart.,5.3 Passion Project,CS Adventures with VR,Matched CSTA 0.07; shared tokens data
AL,1,DLCS.18.1.15,Interpret data displayed in a chart.,5.3 Passion Project,CS Adventures with VR,Matched CSTA 0.07; shared tokens data
